TimeStep,MountainSupply_Inflow,MountainSupply_Outflow,MountainSupply_SupplyRate,RiverSupply_Inflow,RiverSupply_Outflow,RiverSupply_SupplyRate,MountainReservoir_Inflow,MountainReservoir_Outflow,MountainReservoir_Storage,MountainReservoir_StorageChange,ValleyReservoir_Inflow,ValleyReservoir_Outflow,ValleyReservoir_Storage,ValleyReservoir_StorageChange,Farmland1_Inflow,Farmland1_Outflow,Farmland1_Demand,Farmland1_SatisfiedDemand,Farmland1_Deficit,Farmland2_Inflow,Farmland2_Outflow,Farmland2_Demand,Farmland2_SatisfiedDemand,Farmland2_Deficit,City1_Inflow,City1_Outflow,City1_Demand,City1_SatisfiedDemand,City1_Deficit,City2_Inflow,City2_Outflow,City2_Demand,City2_SatisfiedDemand,City2_Deficit,IndustrialPark_Inflow,IndustrialPark_Outflow,IndustrialPark_Demand,IndustrialPark_SatisfiedDemand,IndustrialPark_Deficit,RiverMouth_Inflow,RiverMouth_Outflow
10,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
11,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
12,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
13,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
14,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
15,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
16,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
17,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
18,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
19,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
20,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
21,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
22,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
23,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
24,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
25,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
26,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
27,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
28,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
29,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
30,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
31,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
32,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
33,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
34,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
35,0,150.0,150,0,100.0,100,150.0,150.0,0.0,0.0,100.0,100.0,0.0,0.0,90.0,10.0,80,80,0,47.05882352941176,0.0,70,47.05882352941176,22.94117647058824,60.0,10.0,50,50,0,29.411764705882355,0.0,40,29.411764705882355,10.588235294117645,23.52941176470588,0.0,30,23.52941176470588,6.4705882352941195,20.0,0
