Date,Evaporation
2015-01-01,37.07791454291913
2015-02-01,37.75287453127747
2015-03-01,69.01465075286507
2015-04-01,120.84273150500246
2015-05-01,299.88611661558775
2015-06-01,361.7118453075563
2015-07-01,433.93796429534376
2015-08-01,395.52978536352094
2015-09-01,249.14003689035644
2015-10-01,140.58864096713313
2015-11-01,65.87217448212287
2015-12-01,36.39964114066105
2016-01-01,37.059657896341015
2016-02-01,37.874328939576465
2016-03-01,73.41033893436465
2016-04-01,115.4965660169949
2016-05-01,219.5357218742778
2016-06-01,507.8189414760044
2016-07-01,474.85569491105656
2016-08-01,392.77869342665156
2016-09-01,257.6727561168737
2016-10-01,141.59700012636375
2016-11-01,65.77607434761087
2016-12-01,36.54084658440957
2017-01-01,37.1000260507198
2017-02-01,37.65118328958807
2017-03-01,72.73999648668595
2017-04-01,89.68921226828523
2017-05-01,209.0542187553414
2017-06-01,425.7016721217003
2017-07-01,467.29690355275375
2017-08-01,394.3794762407635
2017-09-01,256.4995711060098
2017-10-01,124.73127523277225
2017-11-01,63.89595136079899
2017-12-01,36.63150658342339
2018-01-01,37.07875018204919
2018-02-01,37.672836380930434
2018-03-01,72.37903805803185
2018-04-01,118.27194886492109
2018-05-01,314.0712920588738
2018-06-01,464.8328204141718
2018-07-01,461.9875210054186
2018-08-01,390.94577077348777
2018-09-01,263.8170318241608
2018-10-01,124.71881489874204
2018-11-01,65.39003275535333
2018-12-01,36.37401005936406
2019-01-01,37.088939684296875
2019-02-01,37.79526816882966
2019-03-01,76.17506445977118
2019-04-01,95.09637838887419
2019-05-01,275.91586617680025
2019-06-01,389.423203678556
2019-07-01,400.38884001420786
2019-08-01,381.8869085195727
2019-09-01,255.12730951798076
2019-10-01,130.2162082274673
2019-11-01,63.46875212896561
2019-12-01,36.53244799795099
2020-01-01,37.05724232009931
2020-02-01,37.81523718487412
2020-03-01,64.32618726052668
2020-04-01,118.7462360799679
2020-05-01,223.7552187602014
2020-06-01,412.1403314452964
2020-07-01,443.54868800227905
2020-08-01,391.0529450829948
2020-09-01,255.32805001877594
2020-10-01,150.51581560033705
2020-11-01,66.90456168535881
2020-12-01,36.404583607778
2021-01-01,37.05622333677992
2021-02-01,37.859431599766026
2021-03-01,80.19974157345158
2021-04-01,135.13789410104076
2021-05-01,260.92252227684156
2021-06-01,354.84545851601206
2021-07-01,432.80779131090304
2021-08-01,393.4812331235002
2021-09-01,259.070214262729
2021-10-01,139.290512763328
2021-11-01,67.51358972361174
2021-12-01,36.17183549570573
2022-01-01,37.073930943628625
2022-02-01,37.67002256503326
2022-03-01,62.34912659889312
2022-04-01,103.05097762511143
2022-05-01,205.19657864623986
2022-06-01,409.44275755916
2022-07-01,477.39676126639597
2022-08-01,385.4171135643329
2022-09-01,254.36701527074175
2022-10-01,128.89793139842186
2022-11-01,65.86892519478793
2022-12-01,36.22707327783467
2023-01-01,37.06781770560468
2023-02-01,37.762448961291646
2023-03-01,65.18166060959949
2023-04-01,102.0384838718823
2023-05-01,272.2089455869495
2023-06-01,418.78993270934006
2023-07-01,450.41357745293055
2023-08-01,388.0862235592686
2023-09-01,259.7004847634494
2023-10-01,133.75017104922208
2023-11-01,63.611425381945
2023-12-01,36.30251384525917
2024-01-01,37.09430763150067
2024-02-01,37.605752157225226
2024-03-01,62.955531763931816
2024-04-01,95.5082056260625
2024-05-01,299.17539612394796
2024-06-01,414.72452377939277
2024-07-01,469.9242519316365
2024-08-01,388.3029917842079
2024-09-01,249.4725839129881
2024-10-01,140.01599582872424
2024-11-01,67.26730030784057
2024-12-01,36.32338765163776
2025-01-01,37.05875077283389
2025-02-01,37.73131707077493
2025-03-01,75.27794446272875
2025-04-01,135.95395997997667
2025-05-01,242.06634104297956
2025-06-01,398.8302442882132
2025-07-01,461.9273666368919
2025-08-01,396.1176072735665
2025-09-01,249.96510530747904
2025-10-01,129.46421381307064
2025-11-01,66.31260061088533
2025-12-01,36.65603613190308
2026-01-01,37.089556237049074
2026-02-01,37.75266381925752
2026-03-01,73.79059093756538
2026-04-01,128.5971085692261
2026-05-01,175.11764010609133
2026-06-01,387.0050019366462
2026-07-01,453.84419931860396
2026-08-01,397.63541183742257
2026-09-01,266.74399234108364
2026-10-01,139.91127600017262
2026-11-01,67.16233848059693
2026-12-01,36.456954518469765
2027-01-01,37.08742726020802
2027-02-01,37.9966180916468
2027-03-01,75.30672872766728
2027-04-01,148.22296759333503
2027-05-01,281.3995879957505
2027-06-01,484.92856669774676
2027-07-01,469.48068941623774
2027-08-01,387.15097470432687
2027-09-01,250.77614922543418
2027-10-01,131.90325792110846
2027-11-01,69.45036190173774
2027-12-01,36.38125420094861
2028-01-01,37.07115198847016
2028-02-01,37.999004000057305
2028-03-01,68.11815514334843
2028-04-01,136.45568288623232
2028-05-01,310.1441390680488
2028-06-01,419.47838549332715
2028-07-01,459.8292551770672
2028-08-01,389.8992200459902
2028-09-01,253.19894088245584
2028-10-01,152.16601451886766
2028-11-01,65.17042688102964
2028-12-01,36.57873402211921
2029-01-01,37.076867760119775
2029-02-01,37.84722164864079
2029-03-01,67.7407128840137
2029-04-01,109.13498808520409
2029-05-01,270.8017969718748
2029-06-01,480.3053205317625
2029-07-01,469.9139223936067
2029-08-01,396.45820238996816
2029-09-01,262.35943472424844
2029-10-01,127.42509340470401
2029-11-01,68.5756143658724
2029-12-01,36.471067607054806
2030-01-01,37.08642780271384
2030-02-01,37.818610198055005
2030-03-01,72.6031931797873
2030-04-01,99.97613712633108
2030-05-01,252.2905815342292
2030-06-01,394.50451131478206
2030-07-01,424.9476204900827
2030-08-01,389.2504809985356
2030-09-01,245.58066654233173
2030-10-01,131.1331032326465
2030-11-01,67.31357803655024
2030-12-01,36.226159342309394
2031-01-01,37.06119911274842
2031-02-01,37.9274056765401
2031-03-01,70.1785091009212
2031-04-01,109.41080434256976
2031-05-01,281.1306316122597
2031-06-01,406.1528784451665
2031-07-01,488.50709084730966
2031-08-01,394.9203293299095
2031-09-01,246.62287699317415
2031-10-01,129.04069501278906
2031-11-01,64.30244048850768
2031-12-01,36.54468270852224
2032-01-01,37.03203812015195
2032-02-01,37.69243259878576
2032-03-01,62.47981090803913
2032-04-01,141.3608342315102
2032-05-01,217.51919865119746
2032-06-01,447.68408743122137
2032-07-01,467.6177268515628
2032-08-01,393.41433813615845
2032-09-01,254.96888021806367
2032-10-01,135.8974577615104
2032-11-01,64.06832769497146
2032-12-01,36.51139621465432
2033-01-01,37.051044690796886
2033-02-01,38.085566118714326
2033-03-01,73.3485245693123
2033-04-01,163.60417494456667
2033-05-01,245.84667243315505
2033-06-01,293.1024005370933
2033-07-01,467.174164336164
2033-08-01,399.65307851945784
2033-09-01,254.53079289661252
2033-10-01,154.90331130316008
2033-11-01,66.74715176557756
2033-12-01,36.35861746104363
2034-01-01,37.02528350841155
2034-02-01,37.96864201884425
2034-03-01,74.19650526807574
2034-04-01,95.84152008734465
2034-05-01,254.8053886851777
2034-06-01,431.11768209954846
2034-07-01,461.77060070679204
2034-08-01,393.7996247972949
2034-09-01,261.99087564019527
2034-10-01,136.12055076334886
2034-11-01,67.03341726189369
2034-12-01,36.58056429826324
2035-01-01,37.07070223259779
2035-02-01,37.88749844082332
2035-03-01,67.7218563807351
2035-04-01,97.68087887455998
2035-05-01,334.25991180128534
2035-06-01,444.5511283852512
2035-07-01,452.0395682628034
2035-08-01,387.9087383481725
2035-09-01,250.92720972070396
2035-10-01,145.2097016546498
2035-11-01,70.85461198886061
2035-12-01,36.16096687823541
2036-01-01,37.04900573131954
2036-02-01,37.83560007030972
2036-03-01,73.30562914629114
2036-04-01,139.06265728918495
2036-05-01,295.81668959581475
2036-06-01,452.7463469667046
2036-07-01,430.10205996697033
2036-08-01,390.29888201291703
2036-09-01,255.74617025666666
2036-10-01,130.22098027028736
2036-11-01,63.99917367058049
2036-12-01,36.16197942259368
2037-01-01,37.04189833094046
2037-02-01,37.77871430837007
2037-03-01,72.85788085155345
2037-04-01,115.44344584890969
2037-05-01,230.59216798690824
2037-06-01,365.0343783085373
2037-07-01,459.9538172533093
2037-08-01,382.1941984720638
2037-09-01,261.86322892743385
2037-10-01,155.8324015288795
2037-11-01,69.99574985774383
2037-12-01,36.25131181000236
2038-01-01,37.064129310315764
2038-02-01,37.75926720979041
2038-03-01,78.12983448673435
2038-04-01,119.40731949047927
2038-05-01,210.67055566868675
2038-06-01,462.39194236185403
2038-07-01,484.3910737523624
2038-08-01,389.3048509669708
2038-09-01,262.6161543700256
2038-10-01,133.75494309204217
2038-11-01,68.47751214522474
2038-12-01,36.730315039173085
2039-01-01,37.098594708447514
2039-02-01,38.058787862702104
2039-03-01,75.31159895036836
2039-04-01,137.36952489873173
2039-05-01,327.148808966286
2039-06-01,459.1392523969297
2039-07-01,481.77587777116184
2039-08-01,381.3104729903513
2039-09-01,252.0012724238928
2039-10-01,151.72672146593084
2039-11-01,67.65216034106723
2039-12-01,36.56439485474633
2040-01-01,37.04825680009129
2040-02-01,37.64880548548602
2040-03-01,74.40448875291345
2040-04-01,111.38296354999824
2040-05-01,231.7725876700065
