Date,ETblue [m^3/s]
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,-0.03989709568306809
2017-04-01,0.9231997067698448
2017-05-01,3.4289411167080353
2017-06-01,4.130898823429211
2017-07-01,6.395276682727406
2017-08-01,9.509516291916094
2017-09-01,6.551557100793303
2017-10-01,0.9769522314693144
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.5133999184795834
2018-04-01,0.9027967890689638
2018-05-01,3.3043981481481484
2018-06-01,3.3580822321993478
2018-07-01,4.344365205382781
2018-08-01,7.329552367742249
2018-09-01,5.184280247724729
2018-10-01,1.3419766267581643
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,-0.19939802647588456
2019-04-01,2.846450363800068
2019-05-01,3.264945916678834
2019-06-01,4.131613647977807
2019-07-01,4.695134934540322
2019-08-01,8.195573715140897
2019-09-01,5.283621848688373
2019-10-01,1.2744333114323259
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.11011339854966662
2020-04-01,1.1568370686718257
2020-05-01,3.0882473718791066
2020-06-01,4.124457797975373
2020-07-01,5.907405126052464
2020-08-01,9.955445137976346
2020-09-01,7.215754580960724
2020-10-01,0.63008742152139
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,-0.01366911836277802
2021-04-01,0.5991560507616683
2021-05-01,3.5179177617170385
2021-06-01,3.922337354601645
2021-07-01,4.87166998223585
2021-08-01,6.8749619774176285
2021-09-01,5.007878279067504
2021-10-01,0.9335722672409598
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.04523926850635129
2022-04-01,0.5219017678979899
2022-05-01,4.0156561785175455
2022-06-01,4.1062411787608895
2022-07-01,5.661380006813646
2022-08-01,8.239611470044288
2022-09-01,5.092535558719034
2022-10-01,1.6515869104978829
2022-11-01,0.0
2022-12-01,0.0
