Date,ETblue [m^3/s]
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.037201294592884605
2017-04-01,1.151719229084538
2017-05-01,2.9630123923200467
2017-06-01,2.5654368642624226
2017-07-01,2.380822017812819
2017-08-01,4.2131150532924515
2017-09-01,3.9008089684625493
2017-10-01,0.3995983294398209
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.6911402820363071
2018-04-01,1.103137775587677
2018-05-01,3.8638396116221347
2018-06-01,3.664779986129362
2018-07-01,2.520224211563732
2018-08-01,4.636800688665012
2018-09-01,4.050925925925926
2018-10-01,1.3053836934832337
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,-0.08942150922275759
2019-04-01,2.6596264053146443
2019-05-01,4.111203125760451
2019-06-01,3.81976383413637
2019-07-01,3.200128820509077
2019-08-01,5.502688957025357
2019-09-01,3.993367340731007
2019-10-01,0.9202719679271913
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.38023723049593616
2020-04-01,2.270138280527571
2020-05-01,3.560316743320193
2020-06-01,3.8607825959994164
2020-07-01,3.89237936195065
2020-08-01,7.267263773300239
2020-09-01,6.27118238063951
2020-10-01,0.6434257434175307
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.03936097727162116
2021-04-01,1.1672476517253128
2021-05-01,3.879824305251375
2021-06-01,4.17807724363654
2021-07-01,3.4954578223098265
2021-08-01,6.065503023555751
2021-09-01,4.8385409062150195
2021-10-01,0.7294822541003553
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.2278959519637903
2022-04-01,0.8790022570204896
2022-05-01,3.8010757349004716
2022-06-01,3.605156774711637
2022-07-01,3.769813567674113
2022-08-01,6.30231907334404
2022-09-01,4.376311779091838
2022-10-01,1.121304965445077
2022-11-01,0.0
2022-12-01,0.0
