Date,ETblue [m^3/s]
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.008885877500365017
2017-04-01,0.3348078490777242
2017-05-01,0.982556760110965
2017-06-01,1.4024287304716017
2017-07-01,1.8772965639752761
2017-08-01,2.141671381466881
2017-09-01,1.2081941706818513
2017-10-01,0.2233370443373728
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.10566475641212829
2018-04-01,0.38927139606755246
2018-05-01,0.7640067588942425
2018-06-01,0.8318086277802113
2018-07-01,1.1134342908940478
2018-08-01,1.2651367900423418
2018-09-01,0.8154779286513847
2018-10-01,0.21659183822455835
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.1729305068866501
2019-04-01,0.6834140932982917
2019-05-01,1.452325765318538
2019-06-01,1.815293138901056
2019-07-01,2.499323198033776
2019-08-01,2.503942941791989
2019-09-01,1.4818084756898815
2019-10-01,0.6898132939115199
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.13315508346717284
2020-04-01,0.5967492212975131
2020-05-01,1.2895472879252448
2020-06-01,2.0112881442546358
2020-07-01,2.7521847775831025
2020-08-01,2.86664795955614
2020-09-01,1.7014459227624472
2020-10-01,0.4103283021852338
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.05682094709689979
2021-04-01,0.257161933615613
2021-05-01,0.9684579865673822
2021-06-01,1.3571818574487762
2021-07-01,1.8114490558232343
2021-08-01,1.933843748479097
2021-09-01,1.3001441816323551
2021-10-01,0.3014240217550007
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.04736853311919015
2022-04-01,0.38572769139047064
2022-05-01,0.9631842543923688
2022-06-01,1.3465127208351584
2022-07-01,1.6682560106098212
2022-08-01,1.95272956514333
2022-09-01,1.1834604808487856
2022-10-01,0.35603965907431745
2022-11-01,0.0
2022-12-01,0.0
