Date,ETblue [m^3/s]
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,-0.01403793741178761
2017-04-01,2.298773087312016
2017-05-01,7.130066889326908
2017-06-01,7.3079593432131205
2017-07-01,11.560385944420108
2017-08-01,16.05341564461965
2017-09-01,11.282954172141919
2017-10-01,1.588241288265927
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.8948120467708182
2018-04-01,3.403686517496472
2018-05-01,5.760786246167324
2018-06-01,4.738267751983258
2018-07-01,8.679312217111987
2018-08-01,14.541968565970702
2018-09-01,10.365537700150874
2018-10-01,3.1507869153647734
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.32503604540808884
2019-04-01,2.2034200552392074
2019-05-01,6.167627877549034
2019-06-01,5.8664129799970794
2019-07-01,9.741655564072614
2019-08-01,16.59987239621356
2019-09-01,9.982334708229912
2019-10-01,2.777397551954057
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.5801637708667932
2020-04-01,3.775703265683555
2020-05-01,6.815007969533265
2020-06-01,7.4534147320776745
2020-07-01,10.91213133304132
2020-08-01,18.461591108190976
2020-09-01,13.565955492285978
2020-10-01,1.9171746483671583
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.352556790529031
2021-04-01,1.7582934856670074
2021-05-01,6.369086727989488
2021-06-01,7.242659360247239
2021-07-01,10.866926284859105
2021-08-01,15.589342422251425
2021-09-01,11.072156975470872
2021-10-01,2.2255986275368667
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.24311639168735094
2022-04-01,2.8462944712123424
2022-05-01,7.393282018056164
2022-06-01,7.70698733391736
2022-07-01,10.716687655132136
2022-08-01,16.063107600866307
2022-09-01,10.997796211125712
2022-10-01,3.195676376113301
2022-11-01,0.0
2022-12-01,0.0
