Date,ETblue [m^3/s]
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.02477551467367499
2017-04-01,1.7573048985253321
2017-05-01,4.53527278921497
2017-06-01,3.4431843760646323
2017-07-01,4.423551035430963
2017-08-01,8.07558204969095
2017-09-01,5.859477660972405
2017-10-01,0.9378307964666375
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.9318498442595025
2018-04-01,1.9444368399279701
2018-05-01,3.6466964459531805
2018-06-01,3.2873374154377766
2018-07-01,3.2856073879398453
2018-08-01,6.458394169465128
2018-09-01,4.828658837056504
2018-10-01,1.632830370613715
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.09454695332651969
2019-04-01,1.7785975446537206
2019-05-01,3.3468617681413346
2019-06-01,4.26388280527571
2019-07-01,4.4694480946123525
2019-08-01,7.430422476517252
2019-09-01,5.060410278872828
2019-10-01,1.4639758845573563
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.5422134314011777
2020-04-01,2.0596870893561103
2020-05-01,3.437275666764004
2020-06-01,5.21699867985594
2020-07-01,5.585494536915365
2020-08-01,9.163206611670804
2020-09-01,7.094226803182946
2020-10-01,1.3379272217355331
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.4676283338200224
2021-04-01,1.5367891297999707
2021-05-01,5.017600653380056
2021-06-01,5.355864755195406
2021-07-01,5.2858081471747695
2021-08-01,8.303382945198813
2021-09-01,6.620545274249283
2021-10-01,1.454550086387307
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.3654350391784688
2022-04-01,1.0549555592057234
2022-05-01,4.8550617182557065
2022-06-01,4.400193763079768
2022-07-01,4.83508845573563
2022-08-01,8.526507063074902
2022-09-01,5.955568331143233
2022-10-01,1.921379945977515
2022-11-01,0.0
2022-12-01,0.0
