Date,ETblue [m^3/s]
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.03636479778069791
2017-04-01,2.5915773896432572
2017-05-01,6.1670613410716895
2017-06-01,6.771715457244367
2017-07-01,9.073826927288655
2017-08-01,12.09383897284275
2017-09-01,7.278149638633376
2017-10-01,1.1162289506983987
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.13390793059814085
2018-04-01,5.153915413442352
2018-05-01,5.807363909573174
2018-06-01,4.419052963936341
2018-07-01,5.823128072224655
2018-08-01,9.031488781817297
2018-09-01,5.8599985703509025
2018-10-01,2.4705401031780796
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.6011598408526793
2019-04-01,2.593056468097532
2019-05-01,4.9332627634204504
2019-06-01,5.445514399912396
2019-07-01,8.4513554290164
2019-08-01,11.560306096997127
2019-09-01,7.701017788484937
2019-10-01,2.903845451890787
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.9624238027449263
2020-04-01,3.2569763834136376
2020-05-01,5.392822705261109
2020-06-01,6.965870169611136
2020-07-01,8.846839715043558
2020-08-01,13.297656744293572
2020-09-01,7.639307137294981
2020-10-01,1.7670881089696793
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.09326179004234195
2021-04-01,1.8382473718791061
2021-05-01,5.35789135883584
2021-06-01,6.53743171144206
2021-07-01,8.846166715335572
2021-08-01,10.106014564169952
2021-09-01,6.198000316347886
2021-10-01,1.2597071652796028
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.988556723609286
2022-04-01,2.6884513250109507
2022-05-01,6.327341734803134
2022-06-01,6.452226906604371
2022-07-01,8.642996848688373
2022-08-01,10.026026457633717
2022-09-01,7.03966439747895
2022-10-01,2.2624082895313187
2022-11-01,0.0
2022-12-01,0.0
