Date,ETblue [m^3/s]
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,6.0836131795395925e-05
2017-04-01,0.10154691074122743
2017-05-01,0.800812618630457
2017-06-01,1.0585981225969727
2017-07-01,0.5247838796417968
2017-08-01,0.5631638742882172
2017-09-01,0.30183846790285684
2017-10-01,0.05537989122499634
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.07542919890981652
2018-04-01,0.42447270282766336
2018-05-01,0.586985022144352
2018-06-01,1.0719402467513506
2018-07-01,1.011218182703071
2018-08-01,0.7664896335231421
2018-09-01,0.3972675451404098
2018-10-01,0.08511735289823331
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.032900940526597554
2019-04-01,0.3397735983355234
2019-05-01,0.9678154049252933
2019-06-01,1.1315558536526014
2019-07-01,0.7404023397576289
2019-08-01,0.511799167761717
2019-09-01,0.3298611111111111
2019-10-01,0.13306763152771695
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,-0.008980933956295324
2020-04-01,0.12808287097873167
2020-05-01,0.5568711369056311
2020-06-01,1.0768299508444055
2020-07-01,0.8267288107752956
2020-08-01,0.8357895921545724
2020-09-01,0.31701328052757094
2020-10-01,0.07505657760256972
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,-0.003642563391249331
2021-04-01,0.05488939991239597
2021-05-01,0.5076318927337324
2021-06-01,1.0675372317126588
2021-07-01,1.0099254149024188
2021-08-01,0.8738197790431693
2021-09-01,0.4480200880907188
2021-10-01,0.06495017520805957
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,-0.03368800798170049
2022-04-01,0.04508337591862559
2022-05-01,0.9390209032948849
2022-06-01,1.0532369384825038
2022-07-01,0.5346545420255999
2022-08-01,0.4724495972648075
2022-09-01,0.2553330474035139
2022-10-01,0.07320487784104737
2022-11-01,0.0
2022-12-01,0.0
