Date,Evaporation
2010-01-01,0.0
2010-02-01,37.5
2010-03-01,67.88
2010-04-01,114.68571428571428
2010-05-01,216.57142857142858
2010-06-01,335.57142857142856
2010-07-01,401.14285714285717
2010-08-01,371.3142857142857
2010-09-01,249.4857142857143
2010-10-01,141.5142857142857
2010-11-01,68.1923076923077
2010-12-01,36.142857142857146
2011-01-01,0.0
2011-02-01,37.5
2011-03-01,67.88
2011-04-01,114.68571428571428
2011-05-01,216.57142857142858
2011-06-01,335.57142857142856
2011-07-01,401.14285714285717
2011-08-01,371.3142857142857
2011-09-01,249.4857142857143
2011-10-01,141.5142857142857
2011-11-01,68.1923076923077
2011-12-01,36.142857142857146
2012-01-01,0.0
2012-02-01,37.5
2012-03-01,67.88
2012-04-01,114.68571428571428
2012-05-01,216.57142857142858
2012-06-01,335.57142857142856
2012-07-01,401.14285714285717
2012-08-01,371.3142857142857
2012-09-01,249.4857142857143
2012-10-01,141.5142857142857
2012-11-01,68.1923076923077
2012-12-01,36.142857142857146
2013-01-01,0.0
2013-02-01,37.5
2013-03-01,67.88
2013-04-01,114.68571428571428
2013-05-01,216.57142857142858
2013-06-01,335.57142857142856
2013-07-01,401.14285714285717
2013-08-01,371.3142857142857
2013-09-01,249.4857142857143
2013-10-01,141.5142857142857
2013-11-01,68.1923076923077
2013-12-01,36.142857142857146
2014-01-01,0.0
2014-02-01,37.5
2014-03-01,67.88
2014-04-01,114.68571428571428
2014-05-01,216.57142857142858
2014-06-01,335.57142857142856
2014-07-01,401.14285714285717
2014-08-01,371.3142857142857
2014-09-01,249.4857142857143
2014-10-01,141.5142857142857
2014-11-01,68.1923076923077
2014-12-01,36.142857142857146
2015-01-01,0.0
2015-02-01,37.5
2015-03-01,67.88
2015-04-01,114.68571428571428
2015-05-01,216.57142857142858
2015-06-01,335.57142857142856
2015-07-01,401.14285714285717
2015-08-01,371.3142857142857
2015-09-01,249.4857142857143
2015-10-01,141.5142857142857
2015-11-01,68.1923076923077
2015-12-01,36.142857142857146
2016-01-01,0.0
2016-02-01,37.5
2016-03-01,67.88
2016-04-01,114.68571428571428
2016-05-01,216.57142857142858
2016-06-01,335.57142857142856
2016-07-01,401.14285714285717
2016-08-01,371.3142857142857
2016-09-01,249.4857142857143
2016-10-01,141.5142857142857
2016-11-01,68.1923076923077
2016-12-01,36.142857142857146
2017-01-01,0.0
2017-02-01,37.5
2017-03-01,67.88
2017-04-01,114.68571428571428
2017-05-01,216.57142857142858
2017-06-01,335.57142857142856
2017-07-01,401.14285714285717
2017-08-01,371.3142857142857
2017-09-01,249.4857142857143
2017-10-01,141.5142857142857
2017-11-01,68.1923076923077
2017-12-01,36.142857142857146
2018-01-01,0.0
2018-02-01,37.5
2018-03-01,67.88
2018-04-01,114.68571428571428
2018-05-01,216.57142857142858
2018-06-01,335.57142857142856
2018-07-01,401.14285714285717
2018-08-01,371.3142857142857
2018-09-01,249.4857142857143
2018-10-01,141.5142857142857
2018-11-01,68.1923076923077
2018-12-01,36.142857142857146
2019-01-01,0.0
2019-02-01,37.5
2019-03-01,67.88
2019-04-01,114.68571428571428
2019-05-01,216.57142857142858
2019-06-01,335.57142857142856
2019-07-01,401.14285714285717
2019-08-01,371.3142857142857
2019-09-01,249.4857142857143
2019-10-01,141.5142857142857
2019-11-01,68.1923076923077
2019-12-01,36.142857142857146
2020-01-01,0.0
2020-02-01,37.5
2020-03-01,67.88
2020-04-01,114.68571428571428
2020-05-01,216.57142857142858
2020-06-01,335.57142857142856
2020-07-01,401.14285714285717
2020-08-01,371.3142857142857
2020-09-01,249.4857142857143
2020-10-01,141.5142857142857
2020-11-01,68.1923076923077
2020-12-01,36.142857142857146
2021-01-01,0.0
2021-02-01,37.5
2021-03-01,67.88
2021-04-01,114.68571428571428
2021-05-01,216.57142857142858
2021-06-01,335.57142857142856
2021-07-01,401.14285714285717
2021-08-01,371.3142857142857
2021-09-01,249.4857142857143
2021-10-01,141.5142857142857
2021-11-01,68.1923076923077
2021-12-01,36.142857142857146
2022-01-01,0.0
2022-02-01,37.5
2022-03-01,67.88
2022-04-01,114.68571428571428
2022-05-01,216.57142857142858
2022-06-01,335.57142857142856
2022-07-01,401.14285714285717
2022-08-01,371.3142857142857
2022-09-01,249.4857142857143
2022-10-01,141.5142857142857
2022-11-01,68.1923076923077
2022-12-01,36.142857142857146
2023-01-01,0.0
2023-02-01,37.5
2023-03-01,67.88
2023-04-01,114.68571428571428
2023-05-01,216.57142857142858
2023-06-01,335.57142857142856
2023-07-01,401.14285714285717
2023-08-01,371.3142857142857
2023-09-01,249.4857142857143
2023-10-01,141.5142857142857
2023-11-01,68.1923076923077
2023-12-01,36.142857142857146
