Date,Navbahor,Xatirchi,Karmana,Paxtachi,Samarqand,Pastdargom,Toyloq,Urgut,Bulungur,Jomboy,Oqdaryo,Payariq,Ishtixon,Kattaqorgon,Narpay,Nurobod
2071-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071-03-01,0.6270070404797211,0.6009202590574118,0.272540952535226,0.2118824916034656,0.1257770879457113,0.618048119149826,0.1970881806989831,0.2281671194503274,0.199267541736499,0.2594118736552336,0.5476517075773815,0.1280958081093407,0.6021824112395037,0.6483468490089027,0.3187283078876375,0.1064636318851086
2071-04-01,3.1066728043450693,3.77020025408214,1.570494179123053,1.6986383710112691,0.4546085022996024,3.813004146559616,0.4813614658233113,0.6397747987309638,0.8350919919351235,1.7049848656329456,2.161124142957857,1.6767914320326156,2.0357981839890757,2.8702871086990585,2.1656609460038485,0.534874414774515
2071-05-01,5.632668525620075,6.801875491469508,2.8572434564830074,3.3878486342715934,1.4410321120803913,8.866876928964539,1.6333981939338131,2.1531312912114253,2.1731588555496004,4.186343816115589,5.134659341358364,4.839474362570064,5.715721036641891,6.4430688861496765,4.13453389018425,1.2541649362578078
2071-06-01,4.14945387459046,6.105329909156185,2.0967818959545834,2.9553861591666117,1.9131166974352942,8.483134206078283,2.078089574815132,2.886391246528699,2.8328738132181686,3.7398792236540905,5.004256386153327,5.187911221937535,6.834221119233017,6.749365021078239,3.992912948933773,1.4727768698679307
2071-07-01,3.8434699698191084,5.249847945865689,2.6351594192158276,4.852922222082012,2.308840081899197,10.30510855421333,1.9324004990719341,3.0717416585754145,2.7861278679904924,3.293622019814784,4.800406394682032,5.954215682106721,7.486379881474168,7.811107471244023,6.980456317586837,1.7446438609200727
2071-08-01,6.701818178233483,7.305429901881983,4.567888741686009,6.735966717401666,2.508795887407572,15.20354186975046,2.5612718185421297,3.3228884637731047,3.559210025962224,5.323105076291659,7.595412813856472,8.197656037951745,9.27364346868364,10.671671762464985,9.869069555089624,1.9217209741609573
2071-09-01,4.488508160839297,5.097244252175103,2.9223815471284667,3.98392560136675,1.7477220977093508,10.679697208320459,1.964782575457636,2.0108956050742934,2.610812235871597,4.317238171079594,5.717441216094746,5.6191414652090135,6.224176653794328,7.233905486925039,6.066557778399236,1.2109044857343507
2071-10-01,1.623031334654545,1.6141138346031494,1.1097500292591307,1.3288511797366098,0.5079153840820477,2.5644244084616803,0.5343200730352553,0.4559400857066423,0.6869213769263158,0.9040936341516488,1.5913297105603639,1.4654620945241112,1.7245013201054633,2.1536121632849334,1.9160085140208116,0.36587147086442307
2071-11-01,0.1553702649088489,0.0916685543796403,0.0975260258405034,0.0662958584009485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697217842089,0.0412688707957656,0.0663188371057337,0.0063291622525995,0.0041041118497274
2071-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072-03-01,0.6270070404797211,0.6009202590574118,0.272540952535226,0.2118824916034656,0.1257770879457113,0.618048119149826,0.1970881806989831,0.2281671194503274,0.199267541736499,0.2594118736552336,0.5476517075773815,0.1280958081093407,0.6021824112395037,0.6483468490089027,0.3187283078876375,0.1064636318851086
2072-04-01,3.1066728043450693,3.77020025408214,1.570494179123053,1.6986383710112691,0.4546085022996024,3.813004146559616,0.4813614658233113,0.6397747987309638,0.8350919919351235,1.7049848656329456,2.161124142957857,1.6767914320326156,2.0357981839890757,2.8702871086990585,2.1656609460038485,0.534874414774515
2072-05-01,5.62734652622656,6.79429099874986,2.858363778519047,3.378351404235568,1.4394408053125138,8.826794783987667,1.632914664535904,2.152241053707311,2.1709913786665966,4.182848872961513,5.117638647094876,4.825210671323322,5.703804221221518,6.429009233300649,4.106049524985475,1.252022017844055
2072-06-01,4.3937789322690355,6.3476059527247735,2.217307529869863,3.112006486455868,1.9142916431520909,8.596601711743343,2.0775136329107884,2.8865514217540977,2.830343015381735,3.7376678537662715,5.050204683400634,5.236352678163431,6.9000528066716305,6.89988465153676,4.191302661097791,1.4882963274541041
2072-07-01,4.266874250000743,5.587686276386021,2.8997150311229056,5.1586912795022535,2.310381000559916,10.39449862875562,1.936049383363594,3.071446340323489,2.8025969889033626,3.3171453127147896,4.832113723515938,6.095223316469324,7.620885168831427,8.063150442093743,7.2536813623944685,1.7733340967124596
2072-08-01,6.9570038008894075,7.504744540926712,4.720508298000093,6.954257483091904,2.511226554262884,15.413708666136674,2.5641617868609883,3.2954648045750847,3.571239396864854,5.343239740296779,7.671557243981203,8.151701823757394,9.306678595192205,10.840572088267251,10.151976279455642,1.9503681849230696
2072-09-01,3.65974687523069,4.286268882182633,2.4791057330541615,3.388617301376676,1.682453087899433,9.413522054384451,1.915162005726296,1.8474802377921091,2.387132233637991,3.9946924491810964,5.196118577170537,4.602494662034179,5.396728680398564,6.058492703181445,5.197044926645148,1.1162238781909244
